Agency,Street Address,City,State,Zip,Counties Served,Program Type,Funding Source,Program Description,Contract Dates,Contract Number,Funding Level
"Victims Information Bureau of Suffolk, Inc.",P. O. Box 428,Holbrook,NY,11741,SUFFOLK,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/31/14-3/30/15,C026841,32045
"Violence Intervention Program, Inc.",POB 1161-Triborough Station,New York,NY,10035,NEW YORK,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/31/14-3/30/15,C026817,32045
Westchester County Office for Women,"112 East Post Road, Room 110B",White Plains,NY,10601,WESTCHESTER,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027518,39134
Wyoming County Department of Social Services,466 North Main Street,Warsaw,NY,14569,WYOMING,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027528,20000
"YWCA of Cortland, New York, Inc.",14 Clayton Avenue,Cortland,NY,13045,CORTLAND,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027529,30000
YWCA of Genesee County,301 North Street,Batavia,NY,14020,GENESEE,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027503,30000
"YWCA of Niagara, Inc.",32 Cottage Street,Lockport,NY,14094,NIAGARA,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/31/14-3/30/15,C026852,32045
YWCA of Schenectady,44 Washington Avenue,Schenectady,NY,12305,SCHENECTADY,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027477,105250
YWCA of the Mohawk Valley,1000 Cornelia Street,Utica,NY,13502,ONEIDA,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027519,75250
Abbott House,100 North Broadway,Irvington,NY,10533,WESTCHESTER,Trauma Informed Services,Public/Private Partnership/ State Aid to Localities,"Trauma informed services to support at-risk infants, children and youth to address the mental behavioral, health, and/or education challenges.",09/1/15-08/31/16,C026932,139750
"Albany Community Action Partnership (Formerly Albany County Opportunity, Inc.)",333 Sheridan Avenue,Albany,NY,12206,ALBANY,Family Support,Public/Private Partnership/ State Aid to Localities,Serving at risk families with children 0-3 years; Early Start child development and family support program in a center-based child care setting; supplemented with home visits by teacher/family development specialist.,09/1/15-08/31/16,C026938,216500
"Boys & Girls Clubs of the Northtowns of WNY, Inc.",54 Riverdale Avenue,Buffalo,NY,14207,ERIE,Youth Development,Public/Private Partnership/ State Aid to Localities,"Program for disconnected youth at high risk of out-of-home placement, providing intervention services to prepare the youth to make good choices and the family to provide a more stable home environment.",09/1/15-08/31/16,C026931,200358
Compass House,1451 Main Street,Buffalo,NY,14209,ERIE,Runaway and Homeless Youth Shelter,Public/Private Partnership/ State Aid to Localities,Shelter and services to help to stabilize runaway and homeless youth (male and female) ages 12-24 years.,09/1/15-08/31/16,C026937,126843
Consortium For Children's Services,2122 Erie Boulevard East,Syracuse,NY,13224,ONONDAGA,Nurturing Parent Program,Public/Private Partnership/ State Aid to Localities,Enhance Nurturing Parenting Program (NPP) focused on high risk new parents from St. Josephs and Upstate Medical hospitals. 12 week workshops offered per year.,09/1/15-08/31/16,C026945,104279
EnCompass Resources,275 Pinnacle Road,Rochester,NY,14623,MONROE,Youth Development,Public/Private Partnership/ State Aid to Localities,"Propose to expand existing Reinvest in Youth model focused on 80 ""system involved"" youth (11-17) to engage in school and community. Trauma informed professional development for 100 teachers, professionals.",09/1/15-08/31/16,C026943,500000
"Grace Smith House, Inc.",P. O. Box 5205,Poughkeepsie,NY,12602,DUTCHESS,Teen Dating Violence Program,Public/Private Partnership/ State Aid to Localities,"Prevention and intervention program for youth. Violence prevention programs for 200 school personnel, 2,200 school aged children, 200 parents and 75 child care staff. Support for groups for middle and high school students who have experienced trauma.",09/1/15-08/31/16,C026934,99865
"Hillside Work Scholarship Connection, Inc.",1183 Monroe Avenue,Rochester,NY,14607,MONROE,Youth Development,Public/Private Partnership/ State Aid to Localities,Overcoming Educational Challenges Project for 9th graders at risk of dropping out.,09/1/15-08/31/16,C026927,500000
"Jewish Board of Family and Children's Services, Inc.",120 West 57th Street,New York,NY,10019,NEW YORK,Child Abuse Prevention,Public/Private Partnership/ State Aid to Localities,"Relationships and Permanency for Babies and Families (RPBF), Psychotherapy for families with infants 0-3 who have been removed and are court referred.",09/1/15-08/31/16,C026930,131577
"Julia Dyckman Andrus Memorial, Inc.",1156 North Broadway,Yonkers,NY,10701,WESTCHESTER,Professional Development,Public/Private Partnership/ State Aid to Localities,"Professional development services for teachers, administrators and support staff in 6 Mt. Vernon schools, 4 elementary and 2 middle. Informed by the Sanctuary Model and focuses on mental health and behavioral strategies. Involves workshops, in-school technical support and family engagement.",09/1/15-08/31/16,C026935,100004
"Leake and Watts Services, Inc.",463 Hawthorne Avenue,Yonkers,NY,10705,WESTCHESTER,Parent Child Home Program,Public/Private Partnership/ State Aid to Localities,"In home parenting program for families with children ages 2-3. Home visits focus on daily literacy, parenting and school wellness.",09/1/15-08/31/16,C026933,164884
Nassau BOCES,"George Farber Administration Center, 71 Clinton Road",Garden City,NY,11530,NASSAU,Parent Child Home Program,Public/Private Partnership/ State Aid to Localities,"In home parenting program for families with children ages 2-3. Home visits focus on daily literacy, parenting and school wellness.",09/1/15-08/31/16,C026944,63861
"SAFE, Inc., of Schenectady",1344 Albany Street,Schenectady,NY,12304,SCHENECTADY,Aftercare,Public/Private Partnership/ State Aid to Localities,Enhances Project SAFE street outreach by adding an Aftercare Program for 60 at-risk youth. Includes sexually exploited youth between the ages 12-16 and their families. Provide case management and outpatient services through referrals and advocacy to the families.,09/1/15-08/31/16,C026941,100000
Schenectady County Public Health Services,"107 Nott Terrace, Suite 304",Schenectady,NY,12308,SCHENECTADY,??,Public/Private Partnership/ State Aid to Localities,??,9/1/15-8/31/16,C026929,564220
Tompkins County Department of Social Services,320 North Tioga Street,Ithaca,NY,14850,TOMPKINS,Trauma Informed Services,Public/Private Partnership/ State Aid to Localities,Tompkins county plans to subcontract with Child Development Council (CDC) to work with young parents who are former foster care youth. Includes trauma informed practice (Point of Engagement Model) and trauma informed training for staff.,09/1/15-08/31/16,C026942,101031
"Turnaround For Children, Inc.","25 West 45th Street, 6th Floor",New York,NY,10036,NEW YORK,Professional Development,Public/Private Partnership/ State Aid to Localities,"Provides a comprehensive school intervention that involves interdisciplinary teams of educators and mental health professionals in 10 high need community schools. Will provide teacher training, instructional coaching, mental health identification and linkage in an effort to build school capacity to cope with children at-risk for behavioral and emotional difficulties.",09/1/15-08/31/16,C026940,434509
United Way of Buffalo and Erie County,"Children's Center for Success, 742 Delaware Avenue",Buffalo,NY,14209,BUFFALO,Child Abuse Prevention,Public/Private Partnership/ State Aid to Localities,Enhance The Family Help Center Daycare by training and coaching staff in Parent Child Interaction Therapy.,09/1/15-08/31/16,C026939,209108
"Westchester Jewish Community Services, Inc.",845 North Broadway,White Plains,NY,10603,WESTCHESTER,Parent Child Home Program,Public/Private Partnership/ State Aid to Localities,"In home parenting program for families with children ages 2-3. Home visits focus on daily literacy, parenting and school wellness.",09/1/15-08/31/16,C026928,190440
Albany Co. Dept. For Children Youth And Families,112 State Street,Albany,NY,12207,ALBANY,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/17-6/30/18,C027568,1054242
Bedford-Stuyvesant Family Medical Health Center,1456 Fulton Street,Brooklyn,NY,11216,KINGS,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/17-6/30/18,C027582,397174
"Behavioral Health Services North, Inc.","22 US Oval, Suite 218",Plattsburgh,NY,12903,CLINTON,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/17-6/30/18,C027573,348543
Bronx-Lebanon Hospital Center,1276 Fulton Avenue,Bronx,NY,10456,BRONX,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/17-6/30/18,C027585,638829
Bronx-Lebanon Hospital Center (MIECHV Oct),1276 Fulton Avenue,Bronx,NY,10456,BRONX,Healthy Families New York Home Visiting,Federal MIECHV funds,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",10/1/2017-9/30/2018,C026443,217985
Brookdale Hospital Medical Center,One Brookdale Plaza,Brooklyn,NY,11212,KINGS,Healthy Families New York Home Visiting,State Aid to Localities ,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",9/1/17-8/31/18,C028014,496310
Brookdale Hospital Medical Center (MIECHV),One Brookdale Plaza,Brooklyn,NY,11212,KINGS,Healthy Families New York Home Visiting,Federal MIECHV funds,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",10/1/17-9/30/18,C027887,477702
Broome County Health Department,225 Front Street,Binghamton,NY,13905,BROOME,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/17-6/30/18,C027567,541449
Buffalo Prenatal Network,625 Delaware Ave Ste 410,Buffalo,NY,14202,ERIE,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/17-6/30/18,C027586,1411219
Buffalo Prenatal Network (MIECHV Oct),625 Delaware Ave Ste 410,Buffalo,NY,14202,ERIE,Healthy Families New York Home Visiting,Federal MIECHV funds,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",10/1/2017-9/30/18,C027879,547355
CAMBA,"1720 Church Avenue, 2nd Floor",Brooklyn,NY,11226,KINGS,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/15-6/30/16,C027583,666804
CAMBA (MIECHV Oct),"1720 Church Avenue, 2nd Floor",Brooklyn,NY,11226,KINGS,Healthy Families New York Home Visiting,Federal MIECHV funds,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",10/1/15-9/30/16,C027169,200000
Catholic Guardian Society and Home Bureau,"1011 First Ave., 10th Floor",Bronx,NY,10022,BRONX,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",9/1/17-8/31/18,C028017,496310
Catholic Guardian Society and Home Bureau (MIECHV Oct),"1011 First Ave., 10th Floor",Bronx,NY,10022,BRONX,Healthy Families New York Home Visiting,Federal MIECHV funds,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",10/1/17-9/30/18,C027880,164961
"Cayuga/Seneca Community Action Agency, Inc.",89 York Street,Auburn,NY,13021,CAYUGA,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",9/1/15-8/31/16,C028011,460661
"Community Action Program For Madison County, Inc.",3 East Main Street,Morrisville,NY,13408,MADISON,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/17-6/30/18,C027569,695414
"Comprehensive Interdisciplinary Developmental Services, Inc.",161 Sullivan Street,Elmira,NY,14901,CHEMUNG,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/17-6/30/18,C027570,621710
Cortland County Community Action Program Inc.,32 N. Main Street,Cortland,NY,13045,CORTLAND,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medic",12/1/17-11/30/18,C028139,360000
"Delaware Opportunities, Inc.",35430 State Highway 10,Hamden,NY,13782,DELAWARE,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",9/1/17-8/31/18,C028012,218108
Dominican Women's Development Center,220 Wadsworth Ave Suite 103,New York,NY,10033,NEW YORK,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",10/1/17-9/30/18,C027666,550000
"Family Service League of Suffolk Co., Inc.",790 Park Avenue,Huntington,NY,11743,SUFFOLK,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",9/1/15-8/31/16,C026579,456351
Herkimer County Public Health Nursing Services,301 North Washington Street,Herkimer,NY,13350,HERKIMER,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",9/1/17-8/31/18,C028013,284434
Institute for Family Health (Dutchess),279 Main Street Suite 201,Poughkeepsie,NY,12601,DUTCHESS,Healthy Families New York Home Visiting,State Aid to Localities ,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/17-6/30/18,C027574,715729
Institute for Family Health (Dutchess) (MIECHV),279 Main Street Suite 201,Poughkeepsie,NY,12601,DUTCHESS,Healthy Families New York Home Visiting,Federal MIECHV funds,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",10/1/17-9/30/18,C027884,715729
Institute for Family Health (Ulster),15 Rail Road Ave,New York,NY,10003,ULSTER,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/17-6/30/18,C027571,1012057
Institute for Human Services,50 Liberty Street,Bath,NY,14810,STEUBEN,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/17-6/30/18,C027579,777398
"Julia Dyckman Andrus Memorial, Inc.",1156 North Broadway,Yonkers,NY,10701,WESTCHESTER,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/17-6/30/18,C027565,473280
"Kids Oneida, Inc.",310 Main Street,Utica,NY,13501,ONEIDA,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",10/1/17-9/30/18,C027705,585710
Kinship Navigator,87 Clinton Avenue,Rochester,NY,14604,NEW YORK,Kinship,State Aid to Localities,"Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.",11/30/15-11/29/16,C027722,220500
"Morris Heights Health Center, Inc.",85 West Burnside Avenue,Bronx,NY,10453,BRONX,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/17-6/30/18,C027587,615784
"Morris Heights Health Center, Inc. (October)",85 West Burnside Avenue,Bronx,NY,10453,BRONX,Healthy Families New York Home Visiting,Federal MIECHV funds,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",10/1/17-9/30/18,C027883,206202
Niagara County Department of Social Services,"100 Davison Road, P.O. Box 506",Lockport,NY,11743,NIAGARA,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/17-6/30/18,C027577,481710
"Northern Manhattan Perinatal Partnership, Inc.","127 West 127th St., Third Floor",New York,NY,10027,NEW YORK,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/17-6/30/18,C027564,592468
Access: Supports for Living Inc. (Middletown),15 Fortune Road West,Middletown,NY,10941,ORANGE,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",9/1/15-8/31/16,C026583,437648
Access: Supports for Living Inc.  (Newburgh),15 Fortune Road West,Middletown,NY,10941,ORANGE,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/15-6/30/16,C027578,505461
Ontario County Department of Social Services,"Human Services Facility,2010 County Complex Drive",Canandaigua,NY,14424,ONTARIO,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/17-6/30/18,C027563,200008
"Opportunities for Otsego, Inc.",3 West Broadway,Oneonta,NY,13820,OTSEGO,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/17-6/30/18,C027561,254956
Our Lady of Lourdes Memorial Hospital/Youth Services,219 Front Street,Binghamton,NY,13901,TIOGA,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",9/1/17-8/31/18,C028018,404190
"Parent Education Program, Inc.",234 North Union Street,Olean,NY,14760,ALLEGANY,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/17-6/30/18,C027576,700000
Public Health Solutions,40 Worth Street,New York,NY,11237,KINGS,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/17-6/30/18,C027562,731849
Sheltering Arms,89-74 162 Strret 4th Floor,Jamaica,NY,11432,QUEENS,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/15-6/30/16,C027581,535108
Samaritan Hospital of Troy,1300 Massachusettes Ave,Troy,NY,12180,RENSSELAER,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/17-6/30/18,C027580,789866
Schenectady County Public Health Services,"107 Nott Terrace, Suite 304",Schenectady,NY,12308,SCHENECTADY,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/15-6/30/16,C027584,564220
Schenectady County Public Health Services (MIECHV),"107 Nott Terrace, Suite 304",Schenectady,NY,12308,SCHENECTADY,Healthy Families New York Home Visiting,Federal MIECHV funds,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/15-9/29/2016,C027888,500000
Sullivan County Public Health Services,50 Community Lane,Liberty ,NY,12754,SULLIVAN,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",9/1/15-8/31/16,C028019,245512
Sunset Park Health Council dba Lutheran Family Health Centers (MIECHV),6025 6th Ave,Brooklyn,NY,11220,KINGS,Healthy Families New York Home Visiting,Federal MIECHV Competitive Grant,"In home parenting program for families with children ages 2-3. Home visits focus on daily literacy, parenting and school wellness.",10/1/17-9/30/17,C027886,875000
University Settlement Society of New York Inc.,184 Eldrige Street,New York,NY,10002,NEW YORK,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",9/1/17-8/31/18,C028016,496310
Vincent J. Fontana Center,590 Aveneu of the Americas,New York,NY,10011,RICHMOND,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.",7/1/17-6/30/18,C027572,583824
Wayne County Action Program,159 Montezuma Street,Lyons,NY,14489,Wayne,Healthy Families New York Home Visiting,State Aid to Localities,"Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medic",12/1/17-11/30/18,C028138,360000
Catholic Charities of Columbia Greene,431 East Allen,Hudson,NY,12130,COLUMBIA,Kinship,State Aid to Localities and Temporary Assistance For Needy Families,"Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.",12/1/13-8/31/15,C025942,177352
Catholic Charities of Columbia Greene,431 East Allen,Hudson,NY,12130,GREENE,Kinship,State Aid to Localities and Temporary Assistance For Needy Families,"Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.",12/1/13-8/31/15,C025942,177352
Catholic Charities of Columbia Greene,431 East Allen,Hudson,NY,12130,SCHOHARIE,Kinship,State Aid to Localities and Temporary Assistance For Needy Families,"Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.",12/1/13-8/31/15,C025942,177352
Cornell Coop Ext. Dutchess County,"2715 Route 44, Suite One",Millbrook,NY,12545,DUTCHESS,Kinship,State Aid to Localities and Temporary Assistance For Needy Families,"Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.",12/1/13-8/31/15,C025943,159877
"Family Services Society of Yonkers, Inc.",30 South Broadway,Yonkers,NY,10703,WESTCHESTER,Kinship,State Aid to Localities and Temporary Assistance For Needy Families,"Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.",12/1/13-8/31/15,C025940,177352
"Hispanic Counseling Center, Inc.",344 Fulton Avenue,Hempstead,NY,11550,NASSAU,Kinship,State Aid to Localities and Temporary Assistance For Needy Families,"Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.",12/1/13-8/31/15,C025937,177352
